edinet_code,sec_code,filer_name,corporate_number
E00113,1968,太平電業株式会社,4010001008748
E00165,8836,株式会社ＲＩＳＥ,8010001128641
E00168,1982,日比谷総合設備株式会社,9010401025405
E00182,1992,神田通信機株式会社,6010001013597
E00189,1981,株式会社協和日成,5011001006550
E00222,1994,高橋カーテンウォール工業株式会社,1010001049480
E00225,1965,株式会社テクノ菱和,3010401018661
E00232,1905,株式会社テノックス,7010401018815
E00240,1840,株式会社土屋ホールディングス,7430001010659
E00260,1787,株式会社ナカボーテック,7010001053015
E00282,1764,工藤建設株式会社,5020001011279
E00304,1736,株式会社　オーテック,8010601001272
E00313,1723,日本電技株式会社,1010601021483
E00474,2268,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,8010701008226
E00571,8013,株式会社ナイガイ,3010501024502
E00610,3600,株式会社フジックス,5130001005385
E00664,3944,古林紙工株式会社,6120001088901
E00675,3945,スーパーバッグ株式会社,8013301005766
E00682,3953,大村紙業株式会社,8021001006662
E00708,3948,光ビジネスフォーム株式会社,5010101003318
E00711,7946,株式会社光陽社,2120001077412
E00725,7864,株式会社フジシールインターナショナル,1120001002503
E00734,7863,株式会社平賀,5011601005828
E00735,7850,総合商研株式会社,8430001009031
E00786,4094,日本化学産業株式会社,8010501016239
E00794,6137,小池酸素工業株式会社,7011701002789
E00867,7886,ヤマト　モビリティ　＆　Ｍｆｇ．株式会社,8030001059463
E00904,4635,東京インキ株式会社,8011501003045
E00911,4625,アトミクス株式会社,5011401000351
E00917,4629,大伸化学株式会社,6010401016497
E01055,4972,綜研化学株式会社,8013301006500
E01061,4235,ウルトラファブリックス・ホールディングス株式会社,8010101002135
E01066,4241,株式会社アテクト,5122001004491
E01143,5268,旭コンクリート工業株式会社,5010001034751
E01172,4990,昭和化学工業株式会社,3013201002835
E01222,5288,アジアパイルホールディングス株式会社,2010001119497
E01283,5612,日本鋳鉄管株式会社,3010001016859
E01294,5695,パウダーテック株式会社,7040001066245
E01296,5697,株式会社サンユウ,1120001149666
E01298,3423,株式会社エスイー,4011101042505
E01318,5702,株式会社大紀アルミニウム工業所,5120001125102
E01321,5757,株式会社ＣＫサンエツ,7230001010051
E01331,5742,エヌアイシ・オートテック株式会社,2230001000412
E01366,5974,中国工業株式会社,6240001006578
E01381,5921,川岸工業株式会社,1010401007286
E01446,5987,株式会社オーネックス,2021001019513
E01456,6467,株式会社ニチダイ,2130001038818
E01505,6278,ユニオンツール株式会社,5010701010077
E01529,6391,株式会社加地テック,2120101021427
E01548,6245,株式会社ヒラノテクシード,9150001013309
E01628,6246,株式会社テクノスマート,4120001074705
E01644,7255,株式会社　桜井製作所,9080401001936
E01648,6494,株式会社ＮＦＫホールディングス,9020001018394
E01651,6347,株式会社プラコー,6030001018165
E01711,6322,株式会社タクミナ,1120001083948
E01753,6584,三櫻工業株式会社,6011001045853
E01813,6776,天昇電気工業株式会社,8012301007277
E01891,6993,大黒屋ホールディングス株式会社,1010401034636
E01916,6982,株式会社リード,9030001085467
E01971,6817,スミダコーポレーション株式会社,8010001064093
E01979,6941,山一電機株式会社,4010801012065
E01997,7711,助川電気工業株式会社,6050001023279
E02005,6867,リーダー電子株式会社,8020001022174
E02007,6654,不二電機工業株式会社,9130001022352
E02008,6298,ワイエイシイホールディングス株式会社,3012801002666
E02012,6518,三相電機株式会社,5140001059091
E02020,6870,日本フェンオール株式会社,5010001033646
E02040,6877,ＯＢＡＲＡ　ＧＲＯＵＰ株式会社,9021001027278
E02092,6668,株式会社アドテックプラズマテクノロジー,2240001029764
E02096,7836,アビックス株式会社,5020001005867
E02100,6662,株式会社ユビテック,9010701021368
E02120,6633,株式会社ＣＧＳホールディングス,4010701025183
E02246,7215,株式会社ファルテック,2020001077174
E02248,7208,株式会社カネミツ,8140001034728
E02323,7713,シグマ光機株式会社,8030001089741
E02324,6888,アクモス株式会社,8010001009651
E02336,7725,株式会社インターアクション,8020001005906
E02337,7709,クボテック株式会社,8120001063299
E02342,6778,株式会社アルチザネットワークス,2012801000217
E02411,6863,株式会社ニレコ,5010101003020
E02421,6291,日本エアーテック株式会社,5010501009996
E02428,7902,株式会社ソノコム,5013201003278
E02431,6907,ジオマテック株式会社,1020001015003
E02441,7877,永大化工株式会社,1120001019704
E02447,7399,株式会社ナンシン,1010001053053
E02462,6400,不二精機株式会社,3120001018670
E02464,7847,株式会社グラファイトデザイン,1030001090714
E02503,8093,極東貿易株式会社,2010001014327
E02518,8084,株式会社ＲＹＯＤＥＮ,8013301012440
E02588,8025,株式会社ツカモトコーポレーション,2010001034878
E02616,8046,丸藤シートパイル株式会社,2010001034944
E02647,8119,株式会社三栄コーポレーション,1010501004662
E02656,8137,サンワテクノス株式会社,5010001045369
E02660,8139,株式会社ナガホリ,9010501010760
E02666,8144,株式会社デンキョーグループホールディングス,7120001039110
E02671,8150,三信電気株式会社,1010401012096
E02673,8152,ソマール株式会社,9010001048632
E02708,9845,株式会社パーカーコーポレーション,5010001054386
E02718,9867,ソレキア株式会社,1010801004073
E02724,9880,イノテック株式会社,8020001019484
E02729,9889,ＪＢＣＣホールディングス株式会社,6010801009068
E02739,9818,大丸エナウィン株式会社,6120001031150
E02740,9820,エムティジェネックス株式会社,4010401039616
E02749,9908,日本電計株式会社,9010501010505
E02759,9929,平和紙業株式会社,5120001089074
E02762,9941,太洋物産株式会社,5010001049188
E02769,9960,東テク株式会社,2010001051477
E02775,9973,ＫＯＺＯホールディングス株式会社,6012801009114
E02782,9991,ジェコス株式会社,2010001069981
E02794,7422,東邦レマック株式会社,2010001005342
E02812,3153,八洲電機株式会社,9010401029819
E02821,7456,松田産業株式会社,2011101020140
E02826,7463,株式会社アドヴァン,2011001001075
E02827,7466,ＳＰＫ株式会社,9120001034407
E02836,7477,ムラキ株式会社,6013401005189
E02847,7500,西川計測株式会社,1010401021428
E02861,7531,清和中央ホールディングス株式会社,2120001044593
E02865,7539,株式会社アイナボホールディングス,9011801005756
E02878,7567,株式会社栄電子,5010001017343
E02905,7628,株式会社オーハシテクニカ,1010401088566
E02920,3426,アトムリビンテック株式会社,1010501007351
E02922,2667,株式会社イメージワン,9011101002149
E02928,2689,オルバヘルスケアホールディングス株式会社,7260001001915
E02932,2693,ＹＫＴ株式会社,6011001023677
E02964,2795,日本プリメックス株式会社,1010801009097
E02980,7837,株式会社アールシーコア,8013201007128
E02986,3374,内外テック株式会社,6010901008705
E02994,3392,デリカフーズホールディングス株式会社,8011801015921
E03004,3070,株式会社ジェリービーンズグループ,9010501001644
E03005,3079,ディーブイエックス株式会社,9011601006203
E03006,3076,あいホールディングス株式会社,4010001108077
E03020,8242,エイチ・ツー・オー　リテイリング株式会社,1120001059683
E03181,9904,株式会社ベリテ,3020001050312
E03251,7464,セフテック株式会社,7010001004224
E03360,2673,夢みつけ隊株式会社,8011101037559
E03368,2685,株式会社アンドエスティＨＤ,1050001002254
E03415,2778,パレモ・ホールディングス株式会社,4180001086075
E03451,3358,Ｔｒａｉｌｈｅａｄ　Ｇｌｏｂａｌ　Ｈｏｌｄｉｎｇｓ株式会社,9290801016604
E03465,3021,株式会社パシフィックネット,5010401054564
E03498,3083,スターシーズ株式会社,6010001072528
E03505,3077,ホリイフードサービス株式会社,2050001002286
E03740,8783,ａｂｃ株式会社,9010401047481
E04008,8912,株式会社エリアクエスト,8013201016434
E04038,8944,株式会社ランドビジネス,5010001031955
E04072,3245,株式会社ディア・ライフ,2010001090418
E04077,3248,株式会社アールエイジ,6010401059587
E04123,9033,広島電鉄株式会社,9240001009470
E04342,9362,兵機海運株式会社,6140001010417
E04354,9087,タカセ株式会社,3010401058435
