edinet_code,sec_code,filer_name,field,value,precision,source,source_url,source_qid,query,retrieved_at,notes,error
E00004,1376,カネコ種苗株式会社,date_of_establishment,1947-06-17,date,wikidata,https://www.wikidata.org/wiki/Q11294497,Q11294497,,2026-08-15T07:57:14Z,Wikidata P571,
E00006,1377,株式会社　サカタのタネ,date_of_establishment,1942-12-11,date,wikidata,https://www.wikidata.org/wiki/Q11304396,Q11304396,,2026-08-15T07:57:14Z,Wikidata P571,
E00007,1375,ユキグニファクトリー株式会社,date_of_establishment,1983-07-21,date,wikidata,https://www.wikidata.org/wiki/Q11659873,Q11659873,,2026-08-15T07:57:14Z,Wikidata P571,
E00008,1379,ホクト株式会社,date_of_establishment,1964,year,wikidata,https://www.wikidata.org/wiki/Q11337652,Q11337652,,2026-08-15T07:57:14Z,Wikidata P571,
E00009,1381,株式会社アクシーズ,date_of_establishment,1962-11-13,date,wikidata,https://www.wikidata.org/wiki/Q11282937,Q11282937,,2026-08-15T07:57:14Z,Wikidata P571,
E00010,1382,株式会社ホーブ,date_of_establishment,1987-06-22,date,wikidata,https://www.wikidata.org/wiki/Q11338366,Q11338366,,2026-08-15T07:57:14Z,Wikidata P571,
E00011,1911,住友林業株式会社,date_of_establishment,1691,year,wikidata,https://www.wikidata.org/wiki/Q4050342,Q4050342,,2026-08-15T07:57:14Z,Wikidata P571,
E00012,1301,株式会社　極洋,date_of_establishment,1937-09-03,date,wikidata,https://www.wikidata.org/wiki/Q11541501,Q11541501,,2026-08-15T07:57:14Z,Wikidata P571,
E00014,1332,株式会社ニッスイ,date_of_establishment,1911,year,wikidata,https://www.wikidata.org/wiki/Q7039672,Q7039672,,2026-08-15T07:57:14Z,Wikidata P571,
E00015,1333,Ｕｍｉｏｓ株式会社,date_of_establishment,1943-03-31,date,wikidata,https://www.wikidata.org/wiki/Q18635633,Q18635633,,2026-08-15T07:57:14Z,Wikidata P571,
E00021,5711,三菱マテリアル株式会社,date_of_establishment,1871,year,wikidata,https://www.wikidata.org/wiki/Q1423176,Q1423176,,2026-08-15T07:57:14Z,Wikidata P571,
E00023,5713,住友金属鉱山株式会社,date_of_establishment,1950,year,wikipedia,https://ja.wikipedia.org/wiki/%E4%BD%8F%E5%8F%8B%E9%87%91%E5%B1%9E%E9%89%B1%E5%B1%B1,,住友金属鉱山,2026-08-15T07:57:17Z,Wikipedia infobox 設立,
E00024,5706,三井金属株式会社,date_of_establishment,1874,year,wikidata,https://www.wikidata.org/wiki/Q11354319,Q11354319,,2026-08-15T07:57:14Z,Wikidata P571,
E00026,5729,日本精鉱株式会社,date_of_establishment,1935-06-11,date,wikidata,https://www.wikidata.org/wiki/Q11508805,Q11508805,,2026-08-15T07:57:14Z,Wikidata P571,
E00027,1491,中外鉱業株式会社,date_of_establishment,1932-05-02,date,wikidata,https://www.wikidata.org/wiki/Q11363541,Q11363541,,2026-08-15T07:57:14Z,Wikidata P571,
E00028,5714,ＤＯＷＡホールディングス株式会社,date_of_establishment,1937-03-11,date,wikidata,https://www.wikidata.org/wiki/Q5302643,Q5302643,,2026-08-15T07:57:14Z,Wikidata P571,
E00030,3315,日本コークス工業株式会社,date_of_establishment,1969-12-01,date,wikidata,https://www.wikidata.org/wiki/Q11242302,Q11242302,,2026-08-15T07:57:14Z,Wikidata P571,
E00032,5715,古河機械金属株式会社,date_of_establishment,1918,year,wikidata,https://www.wikidata.org/wiki/Q11411383,Q11411383,,2026-08-15T07:57:14Z,Wikidata P571,
